Model,CV_R2_Mean,CV_R2_Std,Rank
SVR,0.7021017666345438,0.1231524048462069,1
XGBoost,0.6382545926704092,0.14925132444921044,2
RandomForest,0.6319238268498316,0.18341811562132743,3
GBDT,0.601817399696154,0.21725422452673684,4
LightGBM,0.535124242539569,0.16752331891826117,5
MLP,-1.6891223634498087,1.8219172062036384,6
