Model,CV_R2_Mean,CV_R2_Std,Rank
XGBoost,0.7574794863470724,0.09544352696416993,1
GBDT,0.7536296495809455,0.0670704103435663,2
RandomForest,0.7534692601558104,0.09065293920006781,3
LightGBM,0.7189476944635391,0.09296614500340415,4
SVR,0.6256822973085501,0.12184083065418903,5
MLP,0.2939442014301695,0.34259226804266707,6
