Model,CV_R2,Test_R2,Test_RMSE,Test_MAE
GradientBoosting,0.5223465614437431,0.8413473074010155,0.34707223659084196,0.23685582611672965
RandomForest,0.4798820173471318,0.8629499043415009,0.32257880028094654,0.22476633776720215
XGBoost,0.46280509571432465,0.8638342095751558,0.3215364085843891,0.2229032556093656
SVR,0.37974498135165363,0.8208752479932879,0.3687855975850134,0.2631389098280005
LightGBM,0.26671475498418085,0.7749969760666313,0.4133237188811743,0.31306131085188815
MLP,-0.44666247438508966,0.4830262504708962,0.6265134466831331,0.45079922551921714
