Unit_Cell_Volume_Å3,Test_Temperature_K,Initial_Hydrogen_Pressure_MPa,Hydrogen_Absorption_Cycles,Element_at_pct_Ti,Element_at_pct_V,Element_at_pct_Mn,Element_at_pct_Ce,Element_at_pct_Zr,Element_at_pct_Cr,Element_at_pct_Fe,Element_at_pct_Nb,Element_at_pct_Cu,Element_at_pct_Al,Element_at_pct_Y,Element_at_pct_A,Element_at_pct_B,Element_at_pct_Ni,Element_at_pct_Mo,Additive_Cu,Additive_Fe,Additive_Mo,Additive_Ni,Additive_V,Additive_Zr,Second_Phase_Ti4Mn2O,Second_Phase_CeO2,Second_Phase_TiCu,Second_Phase_Y2O3,Second_Phase_BCC,Lattice_Parameter_a_Å,Lattice_Parameter_c_Å,Max_H2_Uptake_wt_pct
164.89,303,5.0,2,32.20338983050848,15.25423728813559,49.15254237288136,1.694915254237289,0.0,0.0,1.694915254237289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,4.8785,7.9998,2.1
164.97,303,5.0,2,32.20338983050848,15.25423728813559,47.45762711864407,1.694915254237289,0.0,0.0,3.389830508474577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,4.8793,8.0011,1.82
164.84,303,5.0,2,32.20338983050847,15.25423728813559,45.76271186440678,1.694915254237288,0.0,0.0,5.084745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,4.8781,7.9987,1.69
165.76,303,5.0,2,32.20338983050847,15.25423728813559,44.06779661016949,1.694915254237288,0.0,0.0,6.779661016949152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.8887,8.0084,1.53
166.98,298,5.0,2,30.50847457627118,15.25423728813559,50.84745762711864,0.0,3.389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.8981,8.0365,2.18
167.12,298,5.0,2,30.50847457627118,15.25423728813559,49.15254237288135,0.0,3.389830508474576,1.694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.8993,8.0391,2.07
167.13,298,5.0,2,30.50847457627118,15.25423728813559,47.45762711864406,0.0,3.389830508474576,3.389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.8997,8.0386,2.13
167.22,298,5.0,2,30.50847457627118,15.25423728813559,45.76271186440678,0.0,3.389830508474576,5.084745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.9006,8.0398,2.16
167.34,298,5.0,2,30.50847457627118,15.25423728813559,44.06779661016949,0.0,3.389830508474576,6.779661016949152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.9017,8.042,2.21
167.2,303,5.0,2,30.50847457627118,15.25423728813559,50.84745762711864,0.0,3.389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.8999,8.0411,2.08
