Model,CV_R2_mean,CV_R2_std,Test_R2,Test_RMSE,Test_MAE,High_MAE,Low_MAE
RandomForest,0.8205971793286849,0.11329742339855894,0.7121199712065742,0.1297807303506008,0.08089054773826068,0.06892091328056482,0.08338833333333362
GBT,0.8181552752746265,0.10922017559195162,0.740123830208184,0.12330698354585148,0.08648660598960643,0.05773103935582465,0.12521894625445054
XGBoost,0.8043496439456466,0.0861316674013917,0.7374987649976291,0.12392819395303127,0.08255054337637764,0.04918079376220715,0.11559919834136963
LightGBM,0.7654556065184298,0.08797815362221686,0.7047013853883426,0.1314423000049855,0.08044082412236232,0.03582350311552599,0.12833943914920423
SVR,0.7393664457685895,0.10125053480441615,0.8074191379284111,0.10614780265636292,0.08473575681892605,0.09076368229143661,0.16938912237596374
MLP,0.5328584173198905,0.2915667911924366,-1.4081427317901514,0.3753578969853127,0.2511723333621603,0.2730761557339593,0.13956244734597859
