Model,CV_R2_mean,CV_R2_std,Test_R2,Test_RMSE,Test_MAE,High_MAE,Low_MAE
GBT,0.7020336234536242,0.07863187954889458,0.8812583028603898,0.1158197965966982,0.08633645537449197,0.08869792530823961,0.04940195735597793
SVR,0.6927168255083876,0.18786725902447948,0.8126329001205221,0.1454882229623559,0.11892863681567052,0.12140023519219567,0.07328529628655737
XGBoost,0.6803163052558103,0.09872007678043282,0.8739724711151989,0.11932017519467591,0.0901233753328738,0.08391146183013916,0.018263687292734792
RandomForest,0.6635033146468542,0.11701401293987539,0.8927503834369425,0.11007255464999731,0.08267320958224263,0.09543698851123346,0.05949437088818995
