Model,CV_R2_mean,CV_R2_std,Test_R2,Test_RMSE,Test_MAE,High_MAE,Low_MAE
RandomForest,0.8091384911875936,0.06710001836084364,0.872882152370506,0.26273506032358834,0.19599120996913155,0.3371135553528542,0.22189225850002595
GBT,0.7965129767295679,0.08122156052214821,0.8557297730807616,0.27990014442645794,0.21567468933633982,0.3968065263947718,0.24238478269914152
LightGBM,0.7925163778865115,0.06972884834089356,0.8259113574789865,0.3074680436422959,0.241882320811087,0.3878924092600225,0.46504581690599894
XGBoost,0.7881386102021186,0.0992191256022945,0.8551386043124489,0.2804730244512744,0.2020717423145587,0.20719086964925118,0.35621353054046634
