Dataset,Best_Model,CV_R2,CV_R2_std,Test_R2,Test_RMSE,Test_MAE
C14,RandomForest,0.8205971793286849,0.11329742339855894,0.7121199712065742,0.1297807303506008,0.08089054773826068
BCC,RandomForest,0.8091384911875936,0.06710001836084364,0.872882152370506,0.26273506032358834,0.19599120996913155
TiFe,GBT,0.7020336234536242,0.07863187954889458,0.8812583028603898,0.1158197965966982,0.08633645537449197
