Model,CV_R2_mean,CV_R2_std,Test_R2,Test_RMSE,Test_MAE,High_MAE,Low_MAE
RandomForest,0.8205971793286849,0.11329742339855894,0.7121199712065742,0.1297807303506008,0.08089054773826068,0.06892091328056482,0.08338833333333362
GBT,0.8181552752746265,0.10922017559195162,0.740123830208184,0.12330698354585148,0.08648660598960643,0.05773103935582465,0.12521894625445054
XGBoost,0.8043496439456466,0.0861316674013917,0.7374987649976291,0.12392819395303127,0.08255054337637764,0.04918079376220715,0.11559919834136963
LightGBM,0.7654556065184298,0.08797815362221686,0.7047013853883426,0.1314423000049855,0.08044082412236232,0.03582350311552599,0.12833943914920423
