Element_at_pct_Ti,Element_at_pct_V,Element_at_pct_Mn,Element_at_pct_Zr,Element_at_pct_Cr,Element_at_pct_Fe,Element_at_pct_Nb,Element_at_pct_Cu,Element_at_pct_Al,Element_at_pct_Ni,Element_at_pct_Mo,Element_at_pct_Ce,Element_at_pct_Y,Predicted_Capacity_wt
40.0,30.5,9.5,4.2,2.1,10.5,0.0,0.0,2.1,0.0,1.1,0.0,0.0,3.0913457711604866
39.6,29.2,6.2,3.1,6.2,9.4,3.1,0.0,1.0,0.0,2.1,0.0,0.0,3.091174568109354
41.8,30.6,6.1,3.1,0.0,13.3,1.0,0.0,1.0,3.1,0.0,0.0,0.0,3.0911075325465522
37.9,28.4,8.4,6.3,4.2,9.5,3.2,2.1,0.0,0.0,0.0,0.0,0.0,3.090942216838057
38.2,27.5,8.8,3.9,2.0,10.8,2.9,2.9,1.0,2.0,0.0,0.0,0.0,3.090922219440864
39.4,27.3,8.1,6.1,0.0,12.1,2.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0906861867677833
39.8,29.1,7.8,4.9,1.9,8.7,0.0,4.9,0.0,0.0,2.9,0.0,0.0,3.0905884696970825
38.6,31.7,7.9,5.0,4.0,8.9,0.0,1.0,0.0,2.0,1.0,0.0,0.0,3.090274750799214
37.6,28.7,10.9,7.9,2.0,9.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.090189913152468
40.6,29.7,8.9,7.9,1.0,8.9,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.089535939114399
38.0,28.0,8.0,4.0,1.0,10.0,3.0,5.0,1.0,0.0,2.0,0.0,0.0,3.0891263144149663
38.1,30.9,7.2,4.1,2.1,11.3,3.1,0.0,0.0,3.1,0.0,0.0,0.0,3.088754019724918
41.8,27.6,11.2,3.1,0.0,10.2,3.1,1.0,1.0,1.0,0.0,0.0,0.0,3.088749897978034
39.4,29.3,7.1,3.0,5.1,8.1,1.0,2.0,0.0,3.0,2.0,0.0,0.0,3.088712516751726
39.0,29.0,9.0,5.0,2.0,10.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0884579928057336
38.5,27.1,11.5,3.1,0.0,9.4,1.0,4.2,4.2,0.0,1.0,0.0,0.0,3.0883772915896337
