Model,CV_R2,Test_R2,Test_RMSE,Test_MAE
RandomForest,0.6673776664415506,0.8361605267694848,0.352699969698906,0.2469885107825456
GBDT,0.7276508141291111,0.8124682934890898,0.3773405722175304,0.2699306408857368
SVR,0.5424679146415196,0.7925906147087001,0.3968353509069747,0.2821924215795419
LightGBM,0.4573886167866209,0.7471985049497425,0.4381128283122742,0.32743300133564424
XGBoost,0.6216367687994901,0.6815620576206866,0.4917094505056031,0.24804867072288805
MLP,0.2651208762374351,0.03734585666537349,0.8549314489958315,0.5801095075808871
